age,salary,bonus,dept_Finance,dept_HR,dept_IT,dept_Marketing,dept_Unknown,age_Young,age_Early Career,age_Mid Career,age_Senior,age_Experienced,salary_low,salary_medium,salary_high,tenure_days
48.0,60000.0,7236.0,0,0,0,1,0,0,0,0,1,0,0,1,0,75.0
24.0,70000.0,9162.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1022.0
50.0,50000.0,8982.0,1,0,0,0,0,0,0,0,1,0,1,0,0,3045.0
50.0,70000.0,1856.0,0,0,0,1,0,0,0,0,1,0,0,1,0,3390.0
31.0,50000.0,3873.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1685.0
60.0,60000.0,2372.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2004.0
29.0,50000.0,8337.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1836.0
60.0,60000.0,4664.0,0,0,0,1,0,0,0,0,0,1,0,1,0,2052.0
72.0,50000.0,9533.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1649.0
29.0,60000.0,6006.0,0,1,0,0,0,0,1,0,0,0,0,1,0,235.0
70.0,50000.0,4550.0,0,0,0,1,0,0,0,0,0,1,1,0,0,3411.0
48.0,60000.0,4281.0,0,0,0,0,1,0,0,0,1,0,0,1,0,2106.0
29.0,60000.0,3573.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1709.0
27.0,70000.0,5350.0,0,0,0,0,1,0,1,0,0,0,0,1,0,652.0
57.0,70000.0,4710.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1299.0
48.0,50000.0,4918.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1536.0
69.0,60000.0,3721.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1892.0
68.0,70000.0,5628.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1569.0
63.0,60000.0,3831.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1708.0
53.0,50000.0,2741.0,0,0,1,0,0,0,0,0,1,0,1,0,0,3646.0
50.0,70000.0,4456.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1392.0
44.0,60000.0,4997.0,0,1,0,0,0,0,0,1,0,0,0,1,0,2876.0
25.0,70000.0,1492.0,0,1,0,0,0,1,0,0,0,0,0,1,0,2934.0
22.0,60000.0,7697.0,0,0,0,1,0,1,0,0,0,0,0,1,0,2452.0
78.0,50000.0,9858.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1436.0
25.0,70000.0,5347.0,1,0,0,0,0,1,0,0,0,0,0,1,0,912.0
57.0,70000.0,7420.0,1,0,0,0,0,0,0,0,0,1,0,1,0,2485.0
77.0,60000.0,6817.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1106.0
38.0,60000.0,7149.0,1,0,0,0,0,0,0,1,0,0,0,1,0,648.0
41.0,70000.0,4150.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1836.0
24.0,70000.0,8007.0,0,0,0,0,1,1,0,0,0,0,0,1,0,2640.0
78.0,50000.0,4804.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1727.0
36.0,60000.0,3555.0,1,0,0,0,0,0,0,1,0,0,0,1,0,2278.0
48.0,60000.0,6837.0,0,0,1,0,0,0,0,0,1,0,0,1,0,2998.0
53.0,70000.0,3882.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1605.0
44.0,60000.0,4362.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1705.0
77.0,60000.0,1676.0,0,0,1,0,0,0,0,0,0,1,0,1,0,2704.0
48.0,60000.0,8611.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1392.0
37.0,70000.0,6937.0,0,0,0,0,1,0,0,1,0,0,0,1,0,3353.0
23.0,60000.0,6242.0,1,0,0,0,0,1,0,0,0,0,0,1,0,496.0
29.0,50000.0,4926.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1836.0
67.0,50000.0,7413.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1166.0
29.0,60000.0,4678.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1836.0
67.0,60000.0,6819.0,0,0,0,1,0,0,0,0,0,1,0,1,0,2074.0
20.0,60000.0,4108.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1832.0
59.0,60000.0,8972.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2026.0
56.0,60000.0,6416.0,1,0,0,0,0,0,0,0,0,1,0,1,0,100.0
48.0,50000.0,9740.0,0,1,0,0,0,0,0,0,1,0,1,0,0,551.0
77.0,50000.0,3074.0,0,0,0,0,1,0,0,0,0,1,1,0,0,2875.0
36.0,50000.0,8949.0,1,0,0,0,0,0,0,1,0,0,1,0,0,2231.0
62.0,50000.0,9019.0,0,0,1,0,0,0,0,0,0,1,1,0,0,2214.0
79.0,60000.0,4196.0,1,0,0,0,0,0,0,0,0,1,0,1,0,515.0
48.0,60000.0,9656.0,0,1,0,0,0,0,0,0,1,0,0,1,0,2003.0
48.0,60000.0,4004.0,0,0,1,0,0,0,0,0,1,0,0,1,0,2633.0
55.0,50000.0,6237.0,0,0,0,1,0,0,0,0,1,0,1,0,0,3106.0
23.0,60000.0,7422.0,0,0,1,0,0,1,0,0,0,0,0,1,0,2553.0
25.0,50000.0,7694.0,0,0,0,0,1,1,0,0,0,0,1,0,0,2082.0
32.0,60000.0,7431.0,0,1,0,0,0,0,1,0,0,0,0,1,0,645.0
48.0,60000.0,9176.0,1,0,0,0,0,0,0,0,1,0,0,1,0,56.0
25.0,70000.0,8556.0,0,0,1,0,0,1,0,0,0,0,0,1,0,2949.0
23.0,60000.0,1349.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1422.0
68.0,70000.0,5420.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1043.0
63.0,60000.0,8077.0,0,0,1,0,0,0,0,0,0,1,0,1,0,2840.0
51.0,60000.0,1277.0,0,1,0,0,0,0,0,0,1,0,0,1,0,2567.0
24.0,60000.0,1988.0,0,1,0,0,0,1,0,0,0,0,0,1,0,495.0
57.0,60000.0,6175.0,1,0,0,0,0,0,0,0,0,1,0,1,0,3208.0
27.0,60000.0,3995.0,0,0,0,0,1,0,1,0,0,0,0,1,0,2159.0
30.0,50000.0,5324.0,1,0,0,0,0,0,1,0,0,0,1,0,0,3453.0
79.0,50000.0,7848.0,0,0,0,0,1,0,0,0,0,1,1,0,0,130.0
39.0,60000.0,3456.0,0,0,0,0,1,0,0,1,0,0,0,1,0,3248.0
38.0,60000.0,8206.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1812.0
69.0,50000.0,3557.0,1,0,0,0,0,0,0,0,0,1,1,0,0,239.0
18.0,60000.0,5710.0,1,0,0,0,0,1,0,0,0,0,0,1,0,3023.0
58.0,70000.0,4989.0,1,0,0,0,0,0,0,0,0,1,0,1,0,2669.0
76.0,60000.0,4137.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1136.0
59.0,50000.0,3677.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1770.0
69.0,60000.0,6026.0,0,0,1,0,0,0,0,0,0,1,0,1,0,631.0
48.0,70000.0,8944.0,1,0,0,0,0,0,0,0,1,0,0,1,0,2806.0
69.0,60000.0,3720.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1970.0
46.0,60000.0,8757.0,0,0,0,0,1,0,0,0,1,0,0,1,0,3322.0
28.0,60000.0,7781.0,0,0,1,0,0,0,1,0,0,0,0,1,0,1680.0
54.0,60000.0,5035.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1745.0
67.0,60000.0,1148.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1477.0
24.0,60000.0,9042.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1836.0
52.0,70000.0,4631.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1322.0
47.0,60000.0,4857.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1836.0
32.0,60000.0,7800.0,0,0,1,0,0,0,1,0,0,0,0,1,0,518.0
57.0,60000.0,4828.0,0,0,1,0,0,0,0,0,0,1,0,1,0,549.0
37.0,50000.0,9132.0,0,0,1,0,0,0,0,1,0,0,1,0,0,31.0
45.0,70000.0,7564.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1741.0
76.0,60000.0,7666.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1573.0
54.0,60000.0,8752.0,0,0,1,0,0,0,0,0,1,0,0,1,0,472.0
20.0,60000.0,9762.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1119.0
46.0,60000.0,2363.0,0,0,1,0,0,0,0,0,1,0,0,1,0,257.0
76.0,60000.0,5609.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1836.0
54.0,60000.0,8690.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1836.0
26.0,50000.0,4041.0,1,0,0,0,0,0,1,0,0,0,1,0,0,3304.0
44.0,70000.0,7005.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1241.0
49.0,70000.0,5368.0,0,0,0,1,0,0,0,0,1,0,0,1,0,3270.0
65.0,50000.0,5678.0,1,0,0,0,0,0,0,0,0,1,1,0,0,2048.0
78.0,60000.0,8116.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1479.0
63.0,60000.0,3940.0,0,1,0,0,0,0,0,0,0,1,0,1,0,2886.0
67.0,60000.0,3474.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1852.0
56.0,70000.0,4330.0,0,1,0,0,0,0,0,0,0,1,0,1,0,3261.0
48.0,60000.0,7555.0,0,0,0,0,1,0,0,0,1,0,0,1,0,514.0
64.0,60000.0,8520.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1836.0
43.0,50000.0,5895.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1038.0
57.0,60000.0,1591.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1836.0
20.0,50000.0,5558.0,0,0,0,0,1,1,0,0,0,0,1,0,0,2398.0
28.0,60000.0,2758.0,0,0,0,1,0,0,1,0,0,0,0,1,0,2897.0
69.0,70000.0,6397.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1836.0
46.0,60000.0,5430.0,0,0,1,0,0,0,0,0,1,0,0,1,0,2331.0
44.0,60000.0,8265.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1496.0
48.0,60000.0,4552.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1653.0
67.0,50000.0,8286.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1836.0
64.0,50000.0,9400.0,0,0,0,0,1,0,0,0,0,1,1,0,0,2749.0
27.0,70000.0,3340.0,0,0,0,0,1,0,1,0,0,0,0,1,0,701.0
74.0,60000.0,9183.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1836.0
52.0,70000.0,9171.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1836.0
64.0,60000.0,7875.0,0,0,1,0,0,0,0,0,0,1,0,1,0,2209.0
74.0,70000.0,1988.0,0,1,0,0,0,0,0,0,0,1,0,1,0,3077.0
78.0,60000.0,6273.0,0,0,0,0,1,0,0,0,0,1,0,1,0,540.0
